customer_state,delivered_orders,realized_revenue,average_order_value,late_delivery_rate_pct,average_review_score
SP,40501,5067633.16,125.12,5.89,4.25
RJ,12350,1759651.13,142.48,13.47,3.97
MG,11354,1552481.83,136.73,5.61,4.19
RS,5345,728897.47,136.37,7.15,4.19
PR,4923,666063.51,135.30,5.00,4.24
SC,3546,507012.13,142.98,9.76,4.13
BA,3256,493584.14,151.59,14.04,3.93
DF,2080,296498.41,142.55,7.07,4.13
GO,1957,282836.70,144.53,8.18,4.10
ES,1995,268643.45,134.66,12.23,4.08
PE,1593,251889.49,158.12,10.80,4.08
CE,1279,219757.38,171.82,15.32,3.94
PA,946,174470.59,184.43,12.37,3.91
MT,886,152191.62,171.77,6.77,4.15
MA,717,117009.38,163.19,19.67,3.83
MS,701,115429.97,164.66,11.55,4.16
PB,517,112586.82,217.77,11.03,4.08
PI,476,84721.00,177.99,15.97,3.99
RN,474,82105.66,173.22,10.76,4.15
AL,397,78855.72,198.63,23.93,3.85
SE,335,56574.19,168.88,15.22,3.91
TO,274,48402.51,176.65,12.77,4.15
RO,243,45682.76,187.99,2.88,4.17
AM,145,22155.84,152.80,4.14,4.24
AC,80,15930.97,199.14,3.75,4.09
AP,67,13374.81,199.62,4.48,4.24
RR,41,7057.47,172.13,12.20,3.90
